year,nycha_development,borough,total_number_of_resident_job_placements,average_wage_of_such_residents,total_number_of_resident_connections_to_services,total_number_of_residents_that_applied_for_the_nycha_resident_training_academy,total_number_of_residents_that_were_accepted_and_enrolled,total_number_residents_placed_into_full-time_or_part-time_jobs,number_of_residents_that_enrolled_in_financial_counseling_services/workshops_through_the_rees_zone_partner_program,total_number_of_residents_enrolled_in_vocational_training_programs_through_the_program,total_number_of_residents_enrolled_in_prep_courses_for_english_as_a_second_language_(esol)_or_the_test_assessing_secondary_completion_(tasc)_through_the_program,service_connections
2024.0,MOORE,Unknown,0.0,27.7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2024.0,MONROE,Unknown,0.0,17.31,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
2024.0,MITCHEL,Unknown,0.0,17.31,25.0,10.0,0.0,0.0,0.0,5.0,0.0,25.0
2024.0,MILL BROOK EXTENSION,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,MILL BROOK,Unknown,10.0,20.08,6.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0
2024.0,MIDDLETOWN PLAZA,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,METRO NORTH PLAZA,Unknown,0.0,17.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,MELTZER TOWER,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,MELROSE,Unknown,6.0,18.87,35.0,14.0,0.0,0.0,0.0,0.0,0.0,35.0
2024.0,MCKINLEY,Unknown,0.0,17.31,13.0,6.0,0.0,0.0,0.0,0.0,0.0,13.0
2024.0,MARSHALL PLAZA,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,MARLBORO,Unknown,0.0,23.0,36.0,8.0,0.0,0.0,0.0,5.0,0.0,36.0
2024.0,MARINER'S HARBOR,Unknown,0.0,20.68,102.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0
2024.0,MARCY AVENUE-GREENE AVENUE SITE B,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,MARCY AVENUE-GREENE AVENUE SITE A,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,MARCY,Unknown,12.0,18.76,30.0,26.0,5.0,5.0,0.0,0.0,0.0,30.0
2024.0,MARBLE HILL,Unknown,0.0,36.75,35.0,0.0,0.0,0.0,0.0,8.0,0.0,35.0
2024.0,MANHATTANVILLE REHAB (GROUP 3),Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,MANHATTANVILLE REHAB (GROUP 2),Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,RIIS II,Unknown,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,MANHATTANVILLE,Unknown,5.0,17.73,23.0,7.0,0.0,0.0,0.0,14.0,0.0,23.0
2024.0,LOWER EAST SIDE REHAB (GROUP 5),Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,LOWER EAST SIDE III,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,LOWER EAST SIDE II,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,LOWER EAST SIDE I INFILL,Unknown,0.0,17.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,LOW HOUSES,Unknown,6.0,17.31,17.0,12.0,0.0,0.0,0.0,5.0,0.0,17.0
2024.0,LONGFELLOW AVENUE REHAB,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,LONG ISLAND BAPTIST HOUSES,Unknown,0.0,17.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,LINDEN,Unknown,5.0,24.81,19.0,20.0,6.0,0.0,0.0,0.0,0.0,19.0
2024.0,LINCOLN,Unknown,5.0,20.27,38.0,13.0,0.0,0.0,0.0,10.0,0.0,38.0
2024.0,LEXINGTON,Unknown,0.0,17.11,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
2024.0,LENOX ROAD-ROCKAWAY PARKWAY,Unknown,0.0,29.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,LEHMAN VILLAGE,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,LEAVITT STREET-34TH AVENUE,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,LATIMER GARDENS,Unknown,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2024.0,LAFAYETTE,Unknown,10.0,23.37,34.0,15.0,0.0,0.0,0.0,10.0,0.0,34.0
2024.0,LA GUARDIA ADDITION,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,LA GUARDIA,Unknown,9.0,24.05,43.0,8.0,0.0,0.0,0.0,9.0,0.0,43.0
2024.0,KINGSBOROUGH EXTENSION,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,KINGSBOROUGH,Unknown,7.0,24.53,64.0,12.0,0.0,0.0,0.0,0.0,0.0,64.0
2024.0,KING TOWERS,Unknown,5.0,19.31,37.0,9.0,0.0,0.0,0.0,8.0,0.0,37.0
2024.0,JOHNSON,Unknown,12.0,18.33,27.0,8.0,0.0,0.0,0.0,0.0,0.0,27.0
2024.0,JEFFERSON,Unknown,13.0,26.49,35.0,0.0,0.0,0.0,0.0,7.0,0.0,35.0
